method,query_kind,adapters,predicted_score,heldout_score,feasible,predicted_weights,heldout_weights,coefficient_regret,margins,obstructing_tasks,certificate_type,grid_points,primal_upper,dual_lower,certificate_gap,dual_weights,certificate_message,psd_projected,quadratic_min_eigenvalue,quadratic_psd_adjustment,unprojected_jet_max,error
linear,pair,laquythang_8444c3be_8779_4769+duyphu_4909ad74_a335_4972_9ed8,65.34166374044305,62.68353767395016,0,"[0.22011879638798243, 0.7798812036120175]","[0.2, 0.8]",0.0,"{""duyphu_4909ad74_a335_4972_9ed8"": -62.68353767395016, ""laquythang_8444c3be_8779_4769"": -47.26250476837155}",duyphu_4909ad74_a335_4972_9ed8,continuous_primal_dual_psd,4,65.34166374044305,65.34166374042951,1.354294454358751e-11,"[0.4237540240744375, 0.5762459759255625]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-33.854544162750585,33.854544162750585,65.34166374044305,
linear,pair,nbninh_c4ae10ba_efe4_401e_8dd7+nblinh63_0eb73af3_0631_437a_ad,9.60626311302179,7.583740425109831,0,"[0.8, 0.19999999999999996]","[0.6, 0.4]",2.902841567993164,"{""nblinh63_0eb73af3_0631_437a_ad"": 7.720002460479769, ""nbninh_c4ae10ba_efe4_401e_8dd7"": -7.583740425109831}",nbninh_c4ae10ba_efe4_401e_8dd7,continuous_primal_dual_psd,4,9.60626311302179,9.60626311302179,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,7.758596876159211,0.0,9.606263113021793,
linear,pair,nbninh_0d8b128b_8753_46c3_b80f+thaffggg_8c87f3d3_d4bb_475a_a8,53.554665217471694,23.95465679168698,0,"[0.5668600992399655, 0.4331399007600345]","[0.8, 0.2]",6.7672014236450195,"{""nbninh_0d8b128b_8753_46c3_b80f"": -9.393921566009489, ""thaffggg_8c87f3d3_d4bb_475a_a8"": -23.95465679168698}",thaffggg_8c87f3d3_d4bb_475a_a8,continuous_primal_dual_psd,4,53.554665217471694,53.554665217471694,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,93.75005960464476,0.0,53.554665217471694,
linear,pair,nhoxinh_9214fc0d_4490_4bdd_9ff+mrhunghd_9e58333c_df22_4a00_9c,59.89820483819524,49.03334684371945,0,"[0.26731416825780413, 0.7326858317421958]","[0.2, 0.8]",0.0,"{""mrhunghd_9e58333c_df22_4a00_9c"": -49.03334684371945, ""nhoxinh_9214fc0d_4490_4bdd_9ff"": -45.16167945861813}",mrhunghd_9e58333c_df22_4a00_9c,continuous_primal_dual_psd,4,59.89820483819524,59.898204838193195,2.0463630789890885e-12,"[0.3014813226910669, 0.6985186773089331]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,88.96052837371826,0.0,59.89820483819524,
linear,pair,taronklm_trained_model+mrhungddddh_fe499423_02f3_4cfd,-2.2399755859229913,-0.8199671819047963,1,"[0.5517678815512987, 0.44823211844870126]","[0.8, 0.2]",0.15856589781479724,"{""mrhungddddh_fe499423_02f3_4cfd"": 28.15415554046634, ""taronklm_trained_model"": 0.8199671819047963}",taronklm_trained_model,continuous_primal_dual_psd,4,-2.2399755859229913,-2.2399755859229913,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,726.3256609439851,0.0,-2.2399755859230197,
linear,pair,tuanna08go_7647f014_8af3_4266+hongngo_687b8c72_c89b_4cb7_b7c,0.06239683178467814,0.47272748947140286,0,"[0.7999999999999983, 0.20000000000000173]","[0.8, 0.2]",0.0,"{""hongngo_687b8c72_c89b_4cb7_b7c"": -0.47272748947140286, ""tuanna08go_7647f014_8af3_4266"": -0.1102752202833787}",hongngo_687b8c72_c89b_4cb7_b7c,continuous_primal_dual_psd,4,0.06239683178467814,0.06239683178467814,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,4.132231942340709,0.0,0.062396831784678364,
linear,pair,laquythang_efe15045_778f_4dfa+versil91_63cd5c4a_5a68_4c25_bd,-1.708980399135017,0.24838471505939133,0,"[0.297014144584335, 0.7029858554156649]","[0.2, 0.8]",0.0,"{""laquythang_efe15045_778f_4dfa"": 0.4079549789429038, ""versil91_63cd5c4a_5a68_4c25_bd"": -0.24838471505939133}",versil91_63cd5c4a_5a68_4c25_bd,continuous_primal_dual_psd,4,-1.708980399135017,-1.708980399135017,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,62.495321926318475,0.0,-1.7089803991350172,
linear,pair,cunghoctienganh_4909ad74_a335+nhoxinh_2f944a50_cbd3_4334_af8,22.359296644163184,20.11435337066647,0,"[0.3923916629498488, 0.6076083370501513]","[0.2, 0.8]",0.5485057830810547,"{""cunghoctienganh_4909ad74_a335"": -18.616655540466276, ""nhoxinh_2f944a50_cbd3_4334_af8"": -20.11435337066647}",nhoxinh_2f944a50_cbd3_4334_af8,continuous_primal_dual_psd,4,22.359296644163184,22.35929664416247,7.140954494389007e-13,"[0.8638966891715076, 0.13610331082849247]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,158.58069062232974,0.0,22.35929664416318,
linear,pair,datlaaaaaaa_cc1f8701_0976_4f48+versil91_121ef6e9_0ded_4fc3_8c,13.097381067275949,7.05416507720944,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""datlaaaaaaa_cc1f8701_0976_4f48"": -7.05416507720944, ""versil91_121ef6e9_0ded_4fc3_8c"": -6.84584684371945}",datlaaaaaaa_cc1f8701_0976_4f48,continuous_primal_dual_psd,4,13.097381067275949,13.097381067275949,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,27.523272517861646,0.0,13.097381067275949,
linear,pair,adammandic87_3d7a58a6_4380_4e3+phungkhaccuong_731c6dec_a942_4,-0.07760529389254622,-1.2515749052607419,1,"[0.6354114842873035, 0.36458851571269646]","[0.6, 0.4]",0.0,"{""adammandic87_3d7a58a6_4380_4e3"": 1.2515749052607419, ""phungkhaccuong_731c6dec_a942_4"": 5.029162693023714}",adammandic87_3d7a58a6_4380_4e3,continuous_primal_dual_psd,4,-0.07760529389254622,-0.07760529389291228,3.6605440900672193e-13,"[0.8302047339263661, 0.16979526607363388]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-1.464996436126183,1.464996436126183,-0.07760529389254624,
linear,pair,duyphu_0112d9da_9934_4614_b233+denbeo_d9ae91c0_fed9_4fb4_8ddd,84.4669122219087,51.36435337066647,0,"[0.8, 0.19999999999999996]","[0.6, 0.4]",0.5914807319641113,"{""denbeo_d9ae91c0_fed9_4fb4_8ddd"": -46.07659883499142, ""duyphu_0112d9da_9934_4614_b233"": -51.36435337066647}",duyphu_0112d9da_9934_4614_b233,continuous_primal_dual_psd,4,84.4669122219087,84.4669122219087,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-25.567710399628027,25.567710399628027,76.28524489402773,
linear,pair,phungkhaccuong_2b1522e6_bef2_7+nhung03_7b6cdc3c_7130_4c2c_a2c,31.331421804428068,35.89231081008908,0,"[0.8, 0.19999999999999996]","[0.6, 0.4]",4.270839691162109,"{""nhung03_7b6cdc3c_7130_4c2c_a2c"": -35.89231081008908, ""phungkhaccuong_2b1522e6_bef2_7"": -20.35907812118527}",nhung03_7b6cdc3c_7130_4c2c_a2c,continuous_primal_dual_psd,4,31.331421804428068,31.331421804428068,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,27.24349498748755,0.0,31.331421804428068,
linear,pair,hongngo_7e251dfc_e0f7_4f73_aae+nhung02_08157847_d833_4d45_90f,74.10962169295483,58.94809074401852,0,"[0.40779613870245357, 0.5922038612975464]","[0.8, 0.2]",11.657226085662835,"{""hongngo_7e251dfc_e0f7_4f73_aae"": -58.94809074401852, ""nhung02_08157847_d833_4d45_90f"": -35.467639636993376}",hongngo_7e251dfc_e0f7_4f73_aae,continuous_primal_dual_psd,4,74.10962169295483,74.1096215829507,1.1000413735473558e-07,"[0.6092690287585872, 0.39073097124141276]",primal=Positive directional derivative for linesearch; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-105.6693494319916,105.6693494319916,74.10962169295483,
linear,pair,versil91_8444c3be_8779_4769_a0+datlaaaaaaa_e8cccbe1_c136_409a,1.6365564584731676,10.27386493682858,0,"[0.8, 0.19999999999999996]","[0.8, 0.2]",0.0,"{""datlaaaaaaa_e8cccbe1_c136_409a"": -10.27386493682858, ""versil91_8444c3be_8779_4769_a0"": -1.4187478765901094}",datlaaaaaaa_e8cccbe1_c136_409a,continuous_primal_dual_psd,4,1.6365564584731676,1.6365564584731676,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,19.90452408790582,0.0,1.6365564584731676,
